Case,Comparison,Reader1,Reader2,Pre/Post,Organ,Dice Score
Case_15,Expert vs Novice,Natally,Onur,post,tumor,0.5734741363880437
Case_15,Expert vs Novice,Maria,Burcin,post,tumor,0.4473266278454209
Case_15,Expert vs Novice,Maria,Onur,post,tumor,0.573953823953824
Case_15,Experts,Natally,Maria,post,tumor,0.8130143056083049
Case_15,Novices,Burcin,Onur,post,tumor,0.39778794813119756
Case_18,Expert vs Novice,Natally,Burcin,pre,pancreas,0.7389235637126873
Case_18,Expert vs Novice,Natally,Onur,pre,pancreas,0.8519085215333456
Case_18,Expert vs Novice,Maria,Burcin,pre,pancreas,0.801317421617691
Case_18,Expert vs Novice,Maria,Onur,pre,pancreas,0.8294331167376204
Case_18,Experts,Natally,Maria,pre,pancreas,0.8165619886088332
Case_18,Novices,Burcin,Onur,pre,pancreas,0.7551832460732985
Case_18,Expert vs Novice,Natally,Burcin,pre,tumor,0.19772142594634326
Case_18,Expert vs Novice,Natally,Onur,pre,tumor,0.34696038974793475
Case_18,Expert vs Novice,Maria,Burcin,pre,tumor,0.31962174940898347
Case_18,Expert vs Novice,Maria,Onur,pre,tumor,0.6950976484655241
Case_18,Experts,Natally,Maria,pre,tumor,0.12825229960578186
Case_18,Novices,Burcin,Onur,pre,tumor,0.39761092150170646
Case_18,Expert vs Novice,Natally,Burcin,post,pancreas,0.7616063799487326
Case_18,Expert vs Novice,Natally,Onur,post,pancreas,0.8748778103616813
Case_18,Expert vs Novice,Maria,Burcin,post,pancreas,0.7987355684945816
Case_18,Expert vs Novice,Maria,Onur,post,pancreas,0.8531572522472534
Case_18,Experts,Natally,Maria,post,pancreas,0.8242016280525987
Case_18,Novices,Burcin,Onur,post,pancreas,0.7743251021981131
Case_18,Expert vs Novice,Natally,Burcin,post,tumor,0.23302180685358256
Case_18,Expert vs Novice,Natally,Onur,post,tumor,0.459838653104174
Case_18,Expert vs Novice,Maria,Burcin,post,tumor,0.23001049317943337
Case_18,Expert vs Novice,Maria,Onur,post,tumor,0.3909068445762293
Case_18,Experts,Natally,Maria,post,tumor,0.4326507066628209
Case_18,Novices,Burcin,Onur,post,tumor,0.6905714285714286
Case_19,Expert vs Novice,Natally,Burcin,pre,pancreas,0.6443743736403412
Case_19,Expert vs Novice,Natally,Onur,pre,pancreas,0.8767596085102187
Case_19,Expert vs Novice,Maria,Burcin,pre,pancreas,0.7148375733071796
Case_19,Expert vs Novice,Maria,Onur,pre,pancreas,0.8068046681313366
Case_19,Experts,Natally,Maria,pre,pancreas,0.7816191299337367
Case_19,Novices,Burcin,Onur,pre,pancreas,0.6780825184831862
Case_19,Expert vs Novice,Natally,Burcin,pre,tumor,0.7321339330334833
Case_19,Expert vs Novice,Natally,Onur,pre,tumor,0.8573985680190931
Case_19,Expert vs Novice,Maria,Burcin,pre,tumor,0.7539797395079595
Case_19,Expert vs Novice,Maria,Onur,pre,tumor,0.8117848970251716
Case_19,Experts,Natally,Maria,pre,tumor,0.7714638665843113
Case_19,Novices,Burcin,Onur,pre,tumor,0.7591549295774648
Case_19,Expert vs Novice,Natally,Burcin,post,pancreas,0.7970361555026635
Case_19,Expert vs Novice,Natally,Onur,post,pancreas,0.8661750967569731
Case_19,Expert vs Novice,Maria,Burcin,post,pancreas,0.8581940231072097
Case_19,Expert vs Novice,Maria,Onur,post,pancreas,0.850909090909091
Case_19,Experts,Natally,Maria,post,pancreas,0.8151186639320246
Case_19,Novices,Burcin,Onur,post,pancreas,0.8323640472974835
Case_19,Expert vs Novice,Natally,Burcin,post,tumor,0.6774533943017939
Case_19,Expert vs Novice,Natally,Onur,post,tumor,0.7790559301864339
Case_19,Expert vs Novice,Maria,Burcin,post,tumor,0.7486631016042781
Case_19,Expert vs Novice,Maria,Onur,post,tumor,0.8002628120893561
Case_19,Experts,Natally,Maria,post,tumor,0.739284309870232
Case_19,Novices,Burcin,Onur,post,tumor,0.8211722488038278
Case_20,Expert vs Novice,Natally,Burcin,pre,pancreas,0.7560635072602521
Case_20,Expert vs Novice,Natally,Onur,pre,pancreas,0.8725197197589535
Case_20,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8216123340692637
Case_20,Expert vs Novice,Maria,Onur,pre,pancreas,0.8862036262203626
Case_20,Experts,Natally,Maria,pre,pancreas,0.8325286133486094
Case_20,Novices,Burcin,Onur,pre,pancreas,0.8033537753928708
Case_20,Expert vs Novice,Natally,Burcin,pre,tumor,0.7313687564000455
Case_20,Expert vs Novice,Natally,Onur,pre,tumor,0.779880193971665
Case_20,Expert vs Novice,Maria,Burcin,pre,tumor,0.8306745670009116
Case_20,Expert vs Novice,Maria,Onur,pre,tumor,0.8682406702208683
Case_20,Experts,Natally,Maria,pre,tumor,0.774663792218458
Case_20,Novices,Burcin,Onur,pre,tumor,0.7883165829145728
Case_20,Expert vs Novice,Natally,Burcin,post,pancreas,0.7126724558236371
Case_20,Expert vs Novice,Natally,Onur,post,pancreas,0.872611246440457
Case_20,Expert vs Novice,Maria,Burcin,post,pancreas,0.7520521367096165
Case_20,Expert vs Novice,Maria,Onur,post,pancreas,0.8564696142272604
Case_20,Experts,Natally,Maria,post,pancreas,0.8365020237692097
Case_20,Novices,Burcin,Onur,post,pancreas,0.732816065723414
Case_20,Expert vs Novice,Natally,Burcin,post,tumor,0.7802508390743685
Case_20,Expert vs Novice,Natally,Onur,post,tumor,0.8348953452046236
Case_20,Expert vs Novice,Maria,Burcin,post,tumor,0.8270544944804626
Case_20,Expert vs Novice,Maria,Onur,post,tumor,0.893455334987593
Case_20,Experts,Natally,Maria,post,tumor,0.8223454833597464
Case_20,Novices,Burcin,Onur,post,tumor,0.8230729436109674
Case_21,Expert vs Novice,Natally,Burcin,pre,pancreas,0.7537113542470604
Case_21,Expert vs Novice,Natally,Onur,pre,pancreas,0.8190103185960684
Case_21,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8097318007662835
Case_21,Expert vs Novice,Maria,Onur,pre,pancreas,0.8279800737853554
Case_21,Experts,Natally,Maria,pre,pancreas,0.7660028126842988
Case_21,Novices,Burcin,Onur,pre,pancreas,0.8230680988632808
Case_21,Expert vs Novice,Natally,Burcin,pre,tumor,0.5990836197021764
Case_21,Expert vs Novice,Natally,Onur,pre,tumor,0.5444003661885871
Case_21,Expert vs Novice,Maria,Burcin,pre,tumor,0.2038753159224937
Case_21,Expert vs Novice,Maria,Onur,pre,tumor,0.3164091243561442
Case_21,Experts,Natally,Maria,pre,tumor,0.24787997390737115
Case_21,Novices,Burcin,Onur,pre,tumor,0.43125213237802795
Case_21,Expert vs Novice,Natally,Burcin,post,pancreas,0.6854222821203954
Case_21,Expert vs Novice,Natally,Onur,post,pancreas,0.8061375260465997
Case_21,Expert vs Novice,Maria,Burcin,post,pancreas,0.7694378502728764
Case_21,Expert vs Novice,Maria,Onur,post,pancreas,0.7868520859671302
Case_21,Experts,Natally,Maria,post,pancreas,0.7532257542929212
Case_21,Novices,Burcin,Onur,post,pancreas,0.7152175708034019
Case_21,Expert vs Novice,Natally,Burcin,post,tumor,0.0
Case_21,Expert vs Novice,Natally,Onur,post,tumor,0.0009153318077803204
Case_21,Expert vs Novice,Maria,Burcin,post,tumor,0.2079207920792079
Case_21,Expert vs Novice,Maria,Onur,post,tumor,0.22359154929577466
Case_21,Experts,Natally,Maria,post,tumor,0.04452690166975881
Case_21,Novices,Burcin,Onur,post,tumor,0.08682926829268292
Case_23,Expert vs Novice,Natally,Burcin,pre,pancreas,0.7606857758765873
Case_23,Expert vs Novice,Natally,Onur,pre,pancreas,0.8038345612860014
Case_23,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8309888725593113
Case_23,Expert vs Novice,Maria,Onur,pre,pancreas,0.7849673202614379
Case_23,Experts,Natally,Maria,pre,pancreas,0.7690099425850722
Case_23,Novices,Burcin,Onur,pre,pancreas,0.7644165358451073
Case_23,Expert vs Novice,Natally,Burcin,pre,tumor,0.0
Case_23,Expert vs Novice,Natally,Onur,pre,tumor,0.0
